iso3_i,country_i,iso3_j,country_j,col,cor,cnl,cal,csl,lpn,lpa,lps,bpn,bpa,bps
DNK,Denmark,KAZ,Kazakhstan,1.0,0.0,4.812128413316261e-05,0.104481778539956,0.1078749668646007,0.0518182250120644,0.3788172757772278,0.7519827058045004,0.1844089325941613,1.2088357134668222,2.459668465604807
DNK,Denmark,KEN,Kenya,0.0,0.0,0.0001799076941478,0.0622202767664022,0.0626941084673607,0.0003273107115423,0.023539521046067,0.0502889583814581,0.0011792281086459,0.0402505024416251,0.0969949080572314
DNK,Denmark,KGZ,Kyrgyzstan,0.0,0.0,2.431697557550678e-05,0.0,0.0011737386452663,0.019900220017617,0.1349044263653747,0.2610871724924681,0.0710861529666626,0.4537697477071002,0.9044791382371192
DNK,Denmark,KHM,Cambodia,0.0,0.0,1.0128034638999546e-05,0.1853356543056306,0.186339706786594,0.0010300609801068,0.0749926141986071,0.1554380997087458,0.0017985885516849,0.1392053007947879,0.3110113024106755
DNK,Denmark,KIR,Kiribati,0.0,0.0,9.529671519235912e-05,0.1855934468863139,0.2067386741297883,0.0083827356105335,0.0702147447108684,0.1634664028467596,0.017341659527762,0.1200610134714312,0.3103597341970112
DNK,Denmark,KNA,Saint Kitts and Nevis,0.0,0.0,7.764374950338251e-05,,,0.0068305721227808,,,0.0141299259677172,,
DNK,Denmark,KOR,"Korea, South",0.0,0.0,0.0,0.0880236808686581,0.0884394982568107,0.0,0.0333016083509118,0.0699283126897546,0.0,0.0569428097375148,0.1327669304596062
DNK,Denmark,KWT,Kuwait,0.0,0.0,0.0,,,0.0006225900958062,,,0.0020998557734955,,
DNK,Denmark,LAO,Laos,0.0,0.0,3.179330282578078e-05,0.0021877440755936,0.0022195373784194,0.0010382767816689,0.0062395114143982,0.0107537349784373,0.0012653013509605,0.0228510796310665,0.0373920619104464
DNK,Denmark,LBN,Lebanon,0.0,0.0,0.000167281644849,0.2663601189407611,0.2686007110395255,0.0186870258713866,0.1691316683288267,0.3643879190948477,0.0664757570408737,0.4430808501053817,0.9933936259103716
